State,Total_Crop_Area_ha,Rice_Production_tons,Wheat_Production_tons,Cotton_Production_tons,Sugarcane_Production_tons,Total_Irrigation_Area_ha,Fertilizer_Usage_tons,Agricultural_GDP_crores,Rural_Population,Farmers_Count,GDP_Per_Capita,Literacy_Rate,HDI,Infrastructure_Index,Education_Index,Health_Index,Urbanization_Rate,Industrial_GDP_crores,Service_GDP_crores,Total_GDP_crores,Rice_Yield_per_ha,Wheat_Yield_per_ha,Irrigation_Coverage,Fertilizer_Intensity,Agriculture_GDP_Share,Industrial_GDP_Share,Service_GDP_Share,Agri_GDP_Per_Capita,Farmers_Percentage
Maharashtra,9280351.0,4255299.0,1817640.0,2026716.0,2285000.0,275281.0,1820578.0,197506.0,43403868.0,5180397.0,176324.0,92.97706144896985,0.6184644554526709,0.5015306123673847,0.8990961940195767,0.5731750672581998,39.76682092226249,658307.0,599036.0,4472201.0,0.45852780783830266,0.19585897128244395,0.029662778918599093,0.19617555413582957,0.04416304186685706,0.14719977925857983,0.13394657351044822,0.00455042393917519,11.935334887664851
Manipur,203355.0,11046097.0,6773771.0,2360770.0,6958531.0,3832875.0,152483.0,470910.0,23805256.0,3501356.0,225203.0,79.71508762459388,0.5880464524154114,0.8714267852789905,0.606712405710114,0.689506790839648,38.83759697008517,75726.0,550089.0,1129600.0,54.31927909321138,33.3100784342652,18.848196503651252,0.7498364928327309,0.4168820821529745,0.0670378895184136,0.4869768059490085,0.01978176584196364,14.708331639029632
Meghalaya,16064436.0,10262023.0,1335160.0,779598.0,4372252.0,3045765.0,668271.0,179088.0,17495683.0,9570173.0,241335.0,73.48957758889706,0.5042239468145253,0.699432733244268,0.8906459823330612,0.7435245397707788,22.32243167409557,151564.0,1218838.0,1075715.0,0.6388038148366989,0.08311278404047301,0.18959675895250852,0.04159940629101451,0.16648275797957637,0.14089605518190226,1.1330491812422436,0.01023612510583325,54.7001966142162
Mizoram,1362752.0,6349859.0,6130526.0,3277824.0,5872184.0,7784102.0,224835.0,274544.0,38987584.0,3494084.0,66023.0,60.5588188277075,0.5596527212266416,0.7473924665198524,0.6644148053272925,0.5799925076290549,31.701609222195973,387812.0,1511481.0,1488533.0,4.659585162964355,4.498636582444935,5.712045918846569,0.16498599891983282,0.18443931038142924,0.2605330214378855,1.0154165208295685,0.007041831573867208,8.962042890372484
Nagaland,9884633.0,13488801.0,5223036.0,3341068.0,452690.0,5645108.0,411896.0,385002.0,10624227.0,2977109.0,91090.0,68.08128389677522,0.713402585824595,0.8402339195076289,0.5132202931602193,0.5612342244835776,30.3525630735504,278246.0,255362.0,2331230.0,1.364623350204302,0.5283995875213576,0.5710994024765512,0.041670338190603534,0.16514972782608323,0.11935587651154111,0.10953959926733955,0.036238118782665314,28.02188808654032
Odisha,5764789.0,14191261.0,1475472.0,3266415.0,4743350.0,5724719.0,94896.0,178714.0,12444096.0,7029451.0,117221.0,68.4358913109104,0.7370526621593617,0.7121770240668966,0.6380284992106732,0.8437589201653024,35.453304727435814,715696.0,1512785.0,3553157.0,2.461713863248074,0.2559455341730634,0.9930491818521024,0.01646131367514058,0.05029724270557141,0.20142538030264354,0.4257579949323939,0.014361348546330727,56.48824149219035
Puducherry,1565689.0,664685.0,8038004.0,2019021.0,6459907.0,6364127.0,655263.0,393207.0,43663237.0,495101.0,206730.0,79.96553910418898,0.5707954759246867,0.6424149856794916,0.7783251227163528,0.7032403175027591,21.182413671870343,832209.0,468982.0,272866.0,0.42453194727688576,5.1338445885485555,4.064745297437741,0.4185141493617187,1.441025998108962,3.0498816268791273,1.7187264078338818,0.00900544776375604,1.1339081433655502
Punjab,9795979.0,2405413.0,98984.0,884371.0,2598421.0,8708144.0,487095.0,20151.0,40982573.0,8569981.0,114820.0,83.91422315889103,0.6817879924343034,0.547816842918857,0.7537405378805455,0.680822561944855,20.018472744223367,128015.0,1622456.0,511243.0,0.24555105722460205,0.010104554123686871,0.8889508644312121,0.04972397347932248,0.03941569860125224,0.2503995164725972,3.1735515205098164,0.0004916968000032599,20.91128099741322
Rajasthan,9405648.0,4010197.0,6606168.0,2842868.0,4266263.0,6659280.0,81295.0,449623.0,29940175.0,7828484.0,50769.0,81.34988302239174,0.7778902635540048,0.4527471299151353,0.7722821806219067,0.5912902111906432,33.594833902421755,750674.0,817079.0,2108852.0,0.4263605229538677,0.7023618149435318,0.7080086348117641,0.00864321097281123,0.21320747022550657,0.35596333929550295,0.38745203551505747,0.01501738049293299,26.147088318622053
Sikkim,5843066.0,5658019.0,1554384.0,3882998.0,3856618.0,5550306.0,753974.0,71690.0,30567575.0,8553902.0,109735.0,89.16182191076575,0.6953231076505834,0.6282672852414551,0.7123738333268546,0.8486887949152735,49.15571433100036,264079.0,684076.0,3309360.0,0.9683304963524286,0.2660219822949116,0.9498961675257476,0.12903739235531483,0.02166279884932434,0.0797976043706336,0.20670945439601615,0.002345295627801682,27.983580640597104
Tamil Nadu,10742490.0,5514709.0,2280919.0,983548.0,6043096.0,4422093.0,897121.0,9499.0,38788639.0,6264624.0,244027.0,66.06776287277202,0.7744879026631343,0.5092202186084168,0.6791132658292367,0.8378967729510778,29.469686118378206,560929.0,239963.0,2035588.0,0.5133548181101402,0.21232684414879605,0.41164506552950014,0.0835114577718946,0.004666464923157338,0.27556116463645886,0.11788387433999414,0.0002448912940719575,16.1506672095404
Telangana,6213790.0,371836.0,6990119.0,3354014.0,2004109.0,1611729.0,1331831.0,11295.0,42171431.0,4892611.0,114925.0,73.68712126506342,0.7550115733369398,0.6082549739351831,0.7211572356285312,0.6954027087624841,46.24395150874216,699944.0,500761.0,301451.0,0.059840451640625125,1.124936471943854,0.2593793803781589,0.21433472968993159,0.03746877601998335,2.321916331344066,1.6611688135053457,0.00026783535042953604,11.601719182827825
Tripura,13337723.0,3684702.0,1787095.0,1223475.0,6083060.0,5081595.0,1358224.0,388029.0,23608102.0,6407182.0,249041.0,66.37826307258219,0.6348352022414611,0.8416401294594342,0.7370786895517574,0.8089227201162689,27.375774620417147,698105.0,1317286.0,4247355.0,0.2762616977425607,0.1339880127964871,0.3809941921870772,0.10183327394038698,0.09135779797073708,0.16436229135544356,0.31014266525873163,0.016436264126612126,27.13975905390446
Uttar Pradesh,12748637.0,10584113.0,4830450.0,3480495.0,4472880.0,5528047.0,1715738.0,393215.0,9505634.0,4385868.0,55311.0,86.43764936111783,0.5286230349471234,0.562172510502637,0.5323413305330861,0.5660474879194828,24.003136307787027,523758.0,240984.0,1802683.0,0.8302152614432429,0.3788993286105801,0.43361866841137603,0.13458207336203862,0.21812764640261212,0.29054359529656626,0.13368074142819342,0.04136652010796965,46.13966832722573
Uttarakhand,16961870.0,7381369.0,7519344.0,2969034.0,3162754.0,9120277.0,1066731.0,326184.0,5953584.0,9864996.0,153355.0,74.88045560719357,0.61124547565948,0.4610439773503367,0.6478617824245618,0.5976049734072637,35.80413448122259,950597.0,1965635.0,1054646.0,0.43517424670746796,0.4433086682069843,0.5376928958894273,0.06288994079072649,0.3092829252659186,0.9013422513336229,1.863786521733359,0.054787838720340556,165.6984431562568
West Bengal,5247581.0,2399435.0,2159818.0,4584293.0,7927865.0,1169043.0,1525448.0,279327.0,48142623.0,2265167.0,285796.0,67.2779582003866,0.7006523757990822,0.5781489190384874,0.5968639753109704,0.7451252404904699,36.75696238652399,993609.0,1925324.0,1021525.0,0.4572459195960958,0.4115835467808882,0.22277750453018258,0.29069546520577766,0.27344117862998946,0.972672230243998,1.8847546560289763,0.005802072728775081,4.705117542099856
